id,system,cust_text,reply,human_overall
g149,trivial,Kelvin Mockingbird - Sacred Fire I'm experiencing an occasional crackle/pop on some songs. I tried on multiple of my speaker setups to confirm it's the album and not my equipment. Can this be looked into whether there may be a better/fixed version please. Thanks! [link],Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g194,simple,how do I switch from my current monthly premium to your promotional yearly premium with 2 months free?,Hey! Just select 'See more offers' on the Payments page. This should bring up the option to pay yearly. Hope that helps,4
g024,trivial,I haven’t left my house in a month 😭😭😭 [link],Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,1
g149,agent,Kelvin Mockingbird - Sacred Fire I'm experiencing an occasional crackle/pop on some songs. I tried on multiple of my speaker setups to confirm it's the album and not my equipment. Can this be looked into whether there may be a better/fixed version please. Thanks! [link],Hey! Can you tell us a bit more about what's happening? We'll see what we can do to help.,2
g091,simple,I am trying to setup my account for Hulu and Spotify.. and it is not working as a student. please help.. @SpotifyCares,Hey Gabby! Could you DM us your username or email address? We'll take a look backstage for you https://t.co/ldFdZRiNAt,2
g024,agent,I haven’t left my house in a month 😭😭😭 [link],Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,1
g122,simple,"If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",Hey there! Students must be actively in term at their college/university to be eligible to apply the discount. If they try to sign...,2
g194,agent,how do I switch from my current monthly premium to your promotional yearly premium with 2 months free?,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g158,agent,"you guys sent me an email to change my password today, and as I attempt to I get this error The CSRF token is invalid. Please try to resubmit the form.",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g077,agent,is this a joke? [link],Hey! Can you tell us a bit more about what's happening? We'll see what we can do to help.,4
g064,simple,"Hey Guys!! I recently moved to a new account, and was hoping you'd release my student email fom my old one","Hey Bri! We're afraid there's no way to change the address on an account once it's created. Any other questions, give us a shout",1
g193,trivial,"Hey @115888 can we change the related artist under Dawn Richard page, she is more so related to kelela, sza, Twigs etc like please change it and get with it",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g072,simple,"can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧","We hear you! Sometimes agreements are ongoing, or can't be reached with the content provider. Hopefully we'll have all her music soon",3
g035,simple,"When you want to listen to a single artist's album & @115888 starts slipping in other artists/songs 😡who does it think it is, @129941? I buy premium Spotify specifically to avoid this! #spotify #music [link]",Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up,1
g035,agent,"When you want to listen to a single artist's album & @115888 starts slipping in other artists/songs 😡who does it think it is, @129941? I buy premium Spotify specifically to avoid this! #spotify #music [link]",Hey! Can you tell us a bit more about what's happening? We'll see what we can do to help.,3
g024,simple,I haven’t left my house in a month 😭😭😭 [link],Hey there! We’re working on it as we speak. Stay tuned 🔧,1
g107,agent,Is @115888 down this morning?,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g066,trivial,"The news song from Little Mix , ""Is Your Love Enough?"" is doing very well , please add it to Today's Top Hits!!",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g103,agent,This is so annoying. I literally can't listen to songs fully on @115888 without little skips/pausing when I'm connected via Bluetooth audio on my Google Home.,"Hey! Thanks for sharing — that sounds frustrating. Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest.",4
g091,agent,I am trying to setup my account for Hulu and Spotify.. and it is not working as a student. please help.. @SpotifyCares,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g072,agent,"can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",Hey there! We’d love to have General Public’s music on SpotifyAU — especially “Tenderness”! We’re always looking at ways to expand our library. Thanks for the feedback!,3
g129,simple,Anyone else curious why @115888 has an update? I feel like it’s every week. I love the service but I never see any problems.,Hey! We sure do... https://t.co/LlUmsFxWMS 🙂,1
g055,trivial,is your 9 pesos promo for 3 months isn't available for debit cards?,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g107,simple,Is @115888 down this morning?,"Hi Brendan, help's arrived! Can you DM us your account's email address? We'll take a look backstage https://t.co/ldFdZRiNAt",2
g077,simple,is this a joke? [link],Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there,1
g130,trivial,I️ would use Spotify for podcasts if you guys had ign Game Scoop! And podcast Beyond!,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g122,trivial,"If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g066,simple,"The news song from Little Mix , ""Is Your Love Enough?"" is doing very well , please add it to Today's Top Hits!!","Hey there! Our Curation team are independent & use taste, data, research, and trends to create and update playlists, but we’ll pass on your suggestion 👍",4
g055,agent,is your 9 pesos promo for 3 months isn't available for debit cards?,Hey there! The 9 pesos promo for 3 months is currently not available for debit cards. Let us know if you'd like to DM your account email or username for more details.,1
g124,trivial,"I was randomly logged out, tried to log back in, password didn’t work. Tried to reset password says my accnt doesnt exist????",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g010,trivial,I forgot my username help pls,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g130,agent,I️ would use Spotify for podcasts if you guys had ign Game Scoop! And podcast Beyond!,Hey! Thanks for sharing your love for Ign Game Scoop and Beyond — we’ve got those on our radar and will make sure the team sees your feedback! 😊,2
g098,agent,.@115888 can you make shuffle stop sucking? thanks boo 😗,Hey there! We’ve made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od 😊,4
g010,agent,I forgot my username help pls,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g193,agent,"Hey @115888 can we change the related artist under Dawn Richard page, she is more so related to kelela, sza, Twigs etc like please change it and get with it","Hey there! Related Artists are based on algorithms and cultural patterns, not manually curated. We can't change these directly, but your feedback helps us improve the system! You can share your thoughts here: https://t.co/EH3hl9mfQF 🙌",4
g129,trivial,Anyone else curious why @115888 has an update? I feel like it’s every week. I love the service but I never see any problems.,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g077,trivial,is this a joke? [link],Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g103,simple,This is so annoying. I literally can't listen to songs fully on @115888 without little skips/pausing when I'm connected via Bluetooth audio on my Google Home.,"Hi. Don't worry, help's here. Can you tell us what device, operating system, and app version you're using? We'll see what we can suggest",4
g193,simple,"Hey @115888 can we change the related artist under Dawn Richard page, she is more so related to kelela, sza, Twigs etc like please change it and get with it","Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu! If you've reached out, DM us your email address & we'll chase it up",2
g129,agent,Anyone else curious why @115888 has an update? I feel like it’s every week. I love the service but I never see any problems.,"Hi there! Thanks for the kind words! If you're seeing frequent updates for , could you let us know which device and OS you're using? We’ll check if there’s anything we can share.",3
g098,simple,.@115888 can you make shuffle stop sucking? thanks boo 😗,"Hey there! We don't have info to share, but we'll let the team know it's something you'd like to see",3
g064,trivial,"Hey Guys!! I recently moved to a new account, and was hoping you'd release my student email fom my old one",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g098,trivial,.@115888 can you make shuffle stop sucking? thanks boo 😗,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g103,trivial,This is so annoying. I literally can't listen to songs fully on @115888 without little skips/pausing when I'm connected via Bluetooth audio on my Google Home.,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g107,trivial,Is @115888 down this morning?,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g055,simple,is your 9 pesos promo for 3 months isn't available for debit cards?,Hey there! Is this the track you're looking for: https://t.co/dba3XqZZ7r?,1
g072,trivial,"can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g091,trivial,I am trying to setup my account for Hulu and Spotify.. and it is not working as a student. please help.. @SpotifyCares,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g194,trivial,how do I switch from my current monthly premium to your promotional yearly premium with 2 months free?,Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g010,simple,I forgot my username help pls,Hey there! We'll help out. Could you DM us any email addresses or usernames you might've used for Spotify? We'll see what we can dig up https://t.co/ldFdZRiNAt,4
g066,agent,"The news song from Little Mix , ""Is Your Love Enough?"" is doing very well , please add it to Today's Top Hits!!","Hey there! Our Curation team are independent & use taste, data, research, and trends to create and update playlists, but we’ll pass on your suggestion 👍",4
g124,simple,"I was randomly logged out, tried to log back in, password didn’t work. Tried to reset password says my accnt doesnt exist????","Hey Ellie! Don't worry, we can help. Could you DM us your account's email address or username? We'll take a look under the hood https://t.co/ldFdZRiNAt",2
g124,agent,"I was randomly logged out, tried to log back in, password didn’t work. Tried to reset password says my accnt doesnt exist????",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g064,agent,"Hey Guys!! I recently moved to a new account, and was hoping you'd release my student email fom my old one",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g122,agent,"If you really love students, then why is there only college students only instead for all students? Be specific next time with your stupid ass ads. I'm in high school and today you guys ruined my day trying to listen some music with premium.",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g158,trivial,"you guys sent me an email to change my password today, and as I attempt to I get this error The CSRF token is invalid. Please try to resubmit the form.",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,3
g149,simple,Kelvin Mockingbird - Sacred Fire I'm experiencing an occasional crackle/pop on some songs. I tried on multiple of my speaker setups to confirm it's the album and not my equipment. Can this be looked into whether there may be a better/fixed version please. Thanks! [link],"Hey Kyla, help's here! We've just replied to your DM. Let's carry on chatting there",1
g130,simple,I️ would use Spotify for podcasts if you guys had ign Game Scoop! And podcast Beyond!,"Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: https://t.co/9AHL8STQNa",2
g035,trivial,"When you want to listen to a single artist's album & @115888 starts slipping in other artists/songs 😡who does it think it is, @129941? I buy premium Spotify specifically to avoid this! #spotify #music [link]",Hey! Sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,2
g158,simple,"you guys sent me an email to change my password today, and as I attempt to I get this error The CSRF token is invalid. Please try to resubmit the form.",Hi David! The cavalry's here. Can you DM us your account's email address and a screenshot of the exact error message you're getting? https://t.co/ldFdZRiNAt,2
