id,cust_text,reply_A,reply_B,better
g129,Anyone else curious why @115888 has an update? I feel like it’s every week. I love the service but I never see any problems.,Hey there! It's great to hear you're loving your Discover Weekly updates! That’s a great sign it’s working well for you. Keep listening to your favourite tunes — it helps the playlist keep getting better! 🎶,"Hi there! Thanks for the kind words! If you're seeing frequent updates for , could you let us know which device and OS you're using? We’ll check if there’s anything we can share.",B
g135,"why when i connect Spotify with my Chromecast, my library only shuffles between the most recent saved music? @SpotifyCares",Hey! It’s currently not possible to discover a Chromecast device from the desktop app. You'll need to use a mobile/tablet to...,Hey! That’s a great observation. Can you let us know what version of the Spotify app you’re using on your device? We’d suggest restarting your router to test the connection. Keep us posted!,B
g023,i got issues with u removing Troubadour by George Strait and People are Crazy by Billy Currington,Hey! Sometimes content gets temporarily removed due to licensing changes. We have more info about that here: https://t.co/0i8GpimuDa,Hey! We understand you're upset about content removal. Sometimes songs get temporarily taken down due to licensing changes. We have more info here: https://t.co/0i8GpimuDa,T
g095,"Still nothing, even when I'm on WiFi. Any solution to this, @115888? Seems like a fatal flaw in your login system. [link]",Hey there! Can you let us know what device and operating system you're using? We're happy to help troubleshoot this further.,"Hey there, we're sorry you're still experiencing this. Can you let us know what iOS and Spotify versions you're on? That way we can better help troubleshoot.",B
g164,"Is it just me, or did the #spotify web player stop working?? Chrome AND Firefox don't work.. don't make me use IE!!!! @SpotifyCares",Hey! Help's arrived! Does clearing your browser's cache/cookies and refreshing help? We'll see what we can suggest 🙌,Hey! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes!,B
g154,"i was thinking, what if @115888 had achievements for like how many times you played a song or when someone else is listening to your playlist",Hey! That’s a fun idea – thanks for sharing! We’ve got your feedback and it’s been passed along to the team 👊🏼 Let us know if you think of anything else!,Hey! That’s a fantastic idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users 🎵,B
g133,why is my Spotify acting up,Hey! What's happening exactly? We'd love to help. Can you let us know the device and operating system you're using?,"Hey there! That doesn't sound fun. What device, operating system, and Spotify version are you using? We'll see what we can suggest",B
g104,is @117168 down???? like it keeps saying “An error occurred” but it’s connected to the internet?????,"Hey! Don’t worry, we’re looking into this. Can you let us know your device’s make/model and operating system? That way we can better help troubleshoot the issue.","Hey there! Don't worry, we're here to help. Could you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest",B
g152,Why is there only one @4219 album on Spotify in the UK?! 🤨😒🤔 @115888,Hi there! We’re here to help. Could you let us know the title of the album you’re looking for? We’ll check things out and get back to you!,Hey there! Sometimes only certain albums are available due to licensing. More info about content availability here: https://t.co/YlV1IAXwsi,B
g116,"The Daily Mixes are amazing though, I have two for hardcore split between straight edge and beatdown, a doom metal playlist, a black metal playlist and two more general metalcore/thrash lists. Great selection. @115888",Hey! It’s awesome to hear you’re loving your Daily Mixes — great taste in metal! Thanks for the feedback — your input helps us keep improving the mixes 📝,"Hey there! Thanks so much for the kind words — we’re glad you’re loving your Daily Mixes! Our Curation team uses taste, data, and trends to create these playlists, and we’ll pass on your feedback to keep them even better 🙌",T
